지역_위치별(주유소),,,,,,,,,
,,,,,,,,,(단위 : 원/리터)
지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
부산광역시,광신석유(주)직영 백양대로주유소,부산 북구 백양대로 995 (구포동),SK에너지,051-337-3100,Y,-,1508,1495,-
부산광역시,경덕주유소,부산 북구 시랑로 58 (구포동),알뜰주유소,051-343-2121,Y,-,1513,1528,1500
부산광역시,은마석유(주)금곡대로주유소,부산 북구 금곡대로 712 (금곡동),GS칼텍스,051-365-4830,Y,-,1519,1519,-
부산광역시,화명신도시주유소,부산 북구 금곡대로 203 (화명동),알뜰주유소,051-365-0711,N,-,1548,1498,-
부산광역시,광신석유(주)직영 덕천주유소,부산 북구 의성로 20 (덕천동),SK에너지,051-343-5232,Y,-,1549,1499,-
부산광역시,삼진셀프주유소,부산 북구 의성로53번길 5,SK에너지,051-342-3516,Y,-,1549,1579,-
부산광역시,북부산새마을금고주유소,부산 북구 금곡대로 37,현대오일뱅크,051-341-0151,Y,-,1549,1579,-
부산광역시,SK에너지(주)두꺼비,부산 북구 금곡대로 362 (화명동),SK에너지,051-362-5555,Y,1765,1549,1579,-
부산광역시,동양가스산업(주)명품주유소,부산 북구 금곡대로 113 (덕천동),현대오일뱅크,051-343-3003,Y,1765,1549,1499,-
부산광역시,SK에너지(주)신광셀프주유소,부산 북구 덕천로 275 (만덕동),SK에너지,051-336-9911,Y,-,1549,1564,-
부산광역시,만복드림주유소,부산 북구 만덕대로 170,S-OIL,051-343-5155,Y,-,1549,1499,-
부산광역시,지에스칼텍스(주)구포셀프주유소,부산 북구 사상로 619 (구포동),GS칼텍스,051-338-5189,Y,1769,1549,1559,-
부산광역시,(주)삼보부림SELF주유소,부산 북구 만덕대로 343 (만덕동),GS칼텍스,051-338-5156,Y,-,1549,1509,-
부산광역시,(주)세일 금곡주유소,부산 북구 금곡대로 604 (금곡동),S-OIL,051-334-7771,Y,-,1559,1519,-
부산광역시,무지개주유소,부산 북구 금곡대로 692 (금곡동),현대오일뱅크,051-335-4330,N,-,1559,1559,1600
부산광역시,삼보주유소/충전소,부산 북구 만덕대로 331 (만덕동),GS칼텍스,051-336-2002,Y,1829,1569,1509,1500
부산광역시,지에스칼텍스(주)라인셀프주유소,부산 북구 덕천로 179 (만덕동),GS칼텍스,051-338-5145,Y,-,1579,1579,-
부산광역시,성도주유소,부산 북구 낙동대로 1642,S-OIL,051-333-3351,N,1858,1588,1618,-
