지역_위치별(주유소),,,,,,,,,
,,,,,,,,,(단위 : 원/리터)
지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
부산광역시,(주)대양씨앤씨직영주유소,부산 동구 성남로 74 (범일동),GS칼텍스,051-646-5563,Y,-,1535,1499,-
부산광역시,대양대박주유소,부산 동구 성남로 42 (좌천동),GS칼텍스,051-634-5252,N,-,1545,1525,1500
부산광역시,CJ대한통운㈜ 부산주유소,부산 동구 충장대로 305 (좌천동),GS칼텍스,051-719-5143,Y,-,1558,1538,-
부산광역시,부산벙커앤오일 청구주유소,부산 동구 충장대로 281 (좌천동),SK에너지,051-635-9698,Y,-,1558,1538,1600
부산광역시,지에스칼텍스㈜ 해안주유소,부산 동구 충장대로 121,GS칼텍스,051-469-3879,Y,1779,1559,1558,1600
부산광역시,구도일주유소 부산진,부산 동구 중앙대로 414 (좌천동),S-OIL,051-644-6200,Y,1695,1574,1489,-
부산광역시,동방석유(주)초량주유소,부산 동구  중앙대로 302 (초량동),SK에너지,051-469-5181,Y,-,1579,1499,-
부산광역시,동방석유(주)형제주유소,부산광역시 동구  자성로 127 (범일2동),SK에너지,051-646-5471,Y,-,1589,1519,-
부산광역시,동구SK주유소,부산 동구 중앙대로 352 (초량동),SK에너지,051-715-9338,Y,-,1595,1599,-
부산광역시,㈜삼현석유 천일주유소,부산 동구 중앙대로 168 (초량동),S-OIL,051-466-1001,N,-,1998,1595,-
