지역_위치별(주유소),,,,,,,,,
,,,,,,,,,(단위 : 원/리터)
지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
부산광역시,동방석유(주)푸른주유소,부산 동래구 충렬대로 121 (온천동),SK에너지,051-555-3827,Y,-,1459,1489,-
부산광역시,광신석유(주)직영 충렬대로주유소,부산 동래구 충렬대로 95,SK에너지,051-555-3258,Y,1799,1459,1489,-
부산광역시,한창주유소,부산 동래구 우장춘로 56,현대오일뱅크,051-583-5151,Y,-,1499,1509,-
부산광역시,명장주유소,부산 동래구 반송로 303 (명장동),알뜰주유소,051-522-3355,Y,-,1510,1509,1450
부산광역시,지에스칼텍스(주)동호주유소,부산 동래구 반송로 245 (안락동),GS칼텍스,051-526-9967,Y,-,1520,1509,-
부산광역시,(주)대원에너지 대원주유소,부산 동래구 충렬대로 460  (안락동),S-OIL,051-852-6492,Y,-,1529,1559,-
부산광역시,한양주유소,부산 동래구  충렬대로 300 (낙민동),SK에너지,051-554-3363,N,-,1536,1586,1500
부산광역시,대일주유소,부산 동래구 충렬대로 124 (온천동),알뜰주유소,051-502-1155,Y,-,1537,1487,-
부산광역시,보강주유소,부산 동래구  충렬대로 400 (안락동),현대오일뱅크,051-531-2535,Y,-,1538,1578,1500
부산광역시,충렬주유소,부산 동래구 충렬대로 463,S-OIL,051-522-0569,Y,1828,1538,1578,-
부산광역시,온천주유소,부산 동래구 명륜로 2,GS칼텍스,051-558-2250,Y,-,1538,1578,1450
부산광역시,(주)삼보명진주유소,부산 동래구 충렬대로 51 (온천동),GS칼텍스,051-553-3000,Y,-,1549,1509,-
부산광역시,신세계주유소,부산 동래구 충렬대로 500 (안락동),알뜰주유소,051-528-0600,N,-,1558,1588,-
부산광역시,지에스칼텍스㈜ 태양주유소,부산 동래구 충렬대로 440 (안락제2동),GS칼텍스,051-526-0107,Y,1789,1569,1569,-
부산광역시,안락교차로주유소,부산 동래구 충렬대로 330 (안락동),GS칼텍스,051-552-6262,N,-,1578,1598,1500
부산광역시,대경주유소,부산 동래구 반송로 185 (안락동),현대오일뱅크,051-555-1177,N,-,1597,1598,-
부산광역시,대원주유소,부산 동래구 미남로 38,S-OIL,051-502-0733,Y,-,1598,1628,1600
