지역_위치별(주유소),,,,,,,,,
,,,,,,,,,(단위 : 원/리터)
지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
부산광역시,한솔유화㈜금사점 한길주유소,부산 금정구 반송로 420 (금사동),현대오일뱅크,051-524-6642,Y,1850,1510,1509,-
부산광역시,은마석유 노포주유소,부산 금정구 중앙대로 2191 (노포동),GS칼텍스,051-508-1645,Y,-,1514,1514,1450
부산광역시,금두꺼비주유소,부산광역시 금정구  부곡로 67 (부곡동),알뜰주유소,051-583-6433,Y,-,1517,1537,-
부산광역시,훼미리알뜰주유소,부산 금정구 두실로 2,알뜰주유소,051-582-5882,N,-,1524,1514,-
부산광역시,에이원주유소,부산 금정구 반송로 364 (서동),SK에너지,051-532-5157,Y,-,1529,1509,-
부산광역시,청룡명품주유소,부산 금정구 중앙대로 2130,현대오일뱅크,051-508-5150,N,-,1534,1524,-
부산광역시,금강주유소,부산 금정구 중앙대로 1972,SK에너지,051-581-8551,N,-,1535,1525,-
부산광역시,금샘로주유소,부산 금정구 금샘로 460 (남산동),SK에너지,051-517-0220,Y,1829,1535,1525,-
부산광역시,남산주유소,부산 금정구 중앙대로 2044 (남산동),S-OIL,051-517-5149,Y,1878,1558,1568,-
부산광역시,신화주유소,부산 금정구 금강로 721,현대오일뱅크,051-515-1997,Y,-,1568,1568,1500
부산광역시,동진주유소,"부산 금정구 금정로 216,  (구서동)",SK에너지,051-515-5007,Y,1789,1589,1599,2000
부산광역시,지에스칼텍스(주)신창주유소,부산 금정구 중앙대로 1698 (부곡동),GS칼텍스,051-581-1212,Y,1804,1589,1599,1600
부산광역시,거북이주유소(SK),부산 금정구 중앙대로 1672 (부곡동),SK에너지,051-516-5151,Y,-,1589,1599,1600
부산광역시,한솔유화(주)직영 한길주유소,부산 금정구 중앙대로1646,현대오일뱅크,051-581-0875,N,-,1589,1599,1600
부산광역시,현대오일뱅크㈜ 직영 금정셀프주유소,부산 금정구 중앙대로 1664 (부곡동),현대오일뱅크,051-583-8951,Y,-,1589,1599,-
부산광역시,금정산주유소,부산 금정구 금샘로 399 (구서동),SK에너지,051-517-5472,N,-,1597,1617,1500
부산광역시,식물원주유소,부산 금정구 금샘로 21 (장전동),S-OIL,051-515-5189,N,-,1599,1619,1600
부산광역시,석2주유소,부산 금정구 식물원로 21 (장전동),GS칼텍스,051-581-1370,N,-,1639,1689,1700
부산광역시,동양주유소,부산 금정구  반송로 391 (서동),현대오일뱅크,051-523-1214,Y,-,1647,1647,1600
부산광역시,새석대주유소,부산 금정구 반송로 463 (금사동),S-OIL,051-527-5142,N,-,1657,1657,1600
부산광역시,지에스칼텍스(주)영풍주유소,부산 금정구 중앙대로 1782 (부곡동),GS칼텍스,051-512-3301,Y,1889,1669,1659,1600
