지역_위치별(주유소),,,,,,,,,
,,,,,,,,,(단위 : 원/리터)
지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
부산광역시,솔밭주유소,부산 기장군 장안읍 하근3길 8,SK에너지,051-727-7277,Y,-,1515,1575,1450
부산광역시,월드컵주유소,부산 기장군 일광면 기장대로 1230,알뜰주유소,051-727-1212,Y,-,1523,1532,-
부산광역시,월드주유소,부산 기장군 기장읍 반송로 1559,자가상표,051-723-3461,Y,-,1524,1532,-
부산광역시,하영주유소,부산 기장군 기장읍 반송로 1517,GS칼텍스,051-722-3370,Y,-,1525,1535,-
부산광역시,부경셀프주유소,부산 기장군 기장읍 반송로 1407,알뜰주유소,051-721-5181,Y,-,1525,1535,-
부산광역시,(주)동남주유소,부산 기장군 철마면 반송로 983,GS칼텍스,051-722-9900,Y,-,1529,1539,1450
부산광역시,동양주유소/충전소,부산 기장군 기장읍 기장대로 530,현대오일뱅크,051-723-0202,Y,1780,1529,1539,-
부산광역시,기장IC주유소,부산 기장군 일광면 기장대로 670,SK에너지,051-724-4841,Y,-,1529,1539,-
부산광역시,내리주유소,부산 기장군 기장읍 기장대로 84,현대오일뱅크,051-722-7363,Y,-,1529,1529,1500
부산광역시,(주)동광주유소,부산 기장군 기장읍 차성로 241,현대오일뱅크,051-722-4451,Y,-,1529,1539,1450
부산광역시,삼거리주유소,부산 기장군 기장읍 반송로 1653,현대오일뱅크,051-721-8411,N,-,1529,1539,1450
부산광역시,삼성셀프주유소,부산 기장군 일광면 기장대로 677,S-OIL,051-722-5160,Y,-,1529,1539,-
부산광역시,용문주유소,부산 기장군 일광면 기장대로 710,현대오일뱅크,051-722-5594,Y,-,1529,1539,-
부산광역시,선암주유소,부산 기장군 장안읍 기장대로 1453,알뜰주유소,051-727-1212,Y,-,1535,1523,1450
부산광역시,의학원self주유소,부산 기장군 장안읍 좌동길 47,SK에너지,051-728-1212,Y,-,1535,1535,-
부산광역시,은마석유(주) 대영주유소,부산 기장군 정관면 정관로 249,GS칼텍스,051-728-5133,Y,-,1535,1529,-
부산광역시,오성주유소,부산 기장군 일광면 일광로 722,현대오일뱅크,051-728-8851,N,-,1537,1537,1450
부산광역시,명례주유소,부산 기장군 장안읍 기장대로 2217,현대오일뱅크,051-727-5120,N,-,1538,1548,1450
