지역_위치별(주유소),,,,,,,,,
,,,,,,,,,(단위 : 원/리터)
지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
부산광역시,은마석유(주) 항도주유소,부산 부산진구 신암로 14 (범천동),GS칼텍스,051-632-5189,Y,1695,1495,1489,-
부산광역시,대양주유소,부산 부산진구 새싹로 61-1 (부암동),알뜰주유소,051-818-6161,Y,-,1513,1553,-
부산광역시,광신석유(주)직영 양정주유소,부산 부산진구 동평로 361 (양정동),SK에너지,051-862-7063,Y,-,1517,1499,-
부산광역시,스마일주유소,부산 부산진구 동평로 49,자가상표,051-939-2022,Y,-,1517,1497,-
부산광역시,(주)태화주유소,부산 부산진구 가야대로 402,SK에너지,051-896-6147,Y,-,1523,1489,-
부산광역시,(주)주공에너지,부산 부산진구 백양대로 231,알뜰주유소,051-898-0809,Y,-,1528,1498,-
부산광역시,SK에너지(주) 연지오토self,부산 부산진구 동평로 239 (연지동),SK에너지,051-805-9285,Y,1770,1529,1579,1500
부산광역시,진성주유소,부산 부산진구 백양대로 242,S-OIL,051-896-4500,Y,-,1538,1498,-
부산광역시,영우에너지 부전주유소,부산 부산진구 신천대로 132,알뜰주유소,051-802-5593,Y,-,1545,1515,-
부산광역시,대흥주유소,부산 부산진구 동평로 21,S-OIL,051-898-5151,Y,1795,1547,1587,-
부산광역시,가야주유소,부산 부산진구 가야대로552번길 39,SK에너지,051-896-6300,Y,-,1549,1529,-
부산광역시,명품주유소 당감점,부산 부산진구 백양대로 78 (당감동),현대오일뱅크,051-891-1881,Y,1780,1549,1499,-
부산광역시,지에스칼텍스㈜ 성지주유소,부산 부산진구 동평로 289 (연지동),GS칼텍스,051-806-0466,Y,1805,1549,1559,1500
부산광역시,백양주유소,부산 부산진구  백양대로 234 (개금동),SK에너지,051-894-6622,N,-,1555,1488,1600
부산광역시,(주)우양네트웍스 하마정주유소,부산 부산진구 동평로 398,S-OIL,051-861-5104,Y,-,1565,1495,-
부산광역시,럭키주유소,부산 부산진구 새싹로 230 (초읍동),SK에너지,051-808-5113,Y,-,1598,1658,-
부산광역시,서영주유소,부산 부산진구 범일로 184 (범천동),SK에너지,051-644-7053,N,-,1598,1598,-
부산광역시,동방석유(주)sk전포주유소,부산 부산진구 동천로 10 (전포동),SK에너지,051-804-5152,Y,-,1599,1519,-
부산광역시,동방석유(주)황령산주유소,부산 부산진구 황령대로 66 (전포동),SK에너지,051-803-5151,Y,-,1599,1519,-
부산광역시,한일주유소,부산 부산진구 백양순환로110번길 19 (부암동),SK에너지,051-809-1542,Y,-,1639,1739,1635
부산광역시,케이제이주유소,부산 부산진구 전포대로176번길 5,S-OIL,051-809-5145,Y,-,1678,1698,1670
부산광역시,대명주유소,부산 부산진구 가야대로 523 (가야동),S-OIL,051-896-5105,Y,-,1698,1798,1600
부산광역시,광신석유(주)직영 범천주유소,부산 부산진구 신천대로 85,SK에너지,051-818-4419,Y,2199,1999,1999,1799
