지역_위치별(주유소),,,,,,,,,
,,,,,,,,,(단위 : 원/리터)
지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
부산광역시,북항대교주유소,부산 남구  신선로 316 (용당동),S-OIL,051-628-5152,Y,-,1535,1529,1600
부산광역시,성지셀프주유소,부산 남구 유엔로 42 (우암동),SK에너지,051-636-0051,Y,-,1544,1518,1500
부산광역시,삼화주유소,부산 남구 우암로 92 (감만동),알뜰주유소,051-646-1620,N,-,1545,1509,1500
부산광역시,우암주유소,부산 남구 우암로 204,GS칼텍스,051-644-0142,Y,-,1545,1519,-
부산광역시,(주)경인석유,부산 남구 신선로 448 (용당동),SK에너지,051-626-2426,Y,-,1545,1515,-
부산광역시,CJ대한통운(주)직영 용당터미널주유소,부산 남구 신선로 252,현대오일뱅크,051-621-5154,N,-,1545,1519,-
부산광역시,우암로셀프주유소,부산 남구 우암로 232 (우암동),현대오일뱅크,051-643-5363,Y,-,1545,1509,-
부산광역시,분포셀프주유소,부산 남구 용호로 116 (용호동),SK에너지,051-627-5151,Y,-,1545,1555,1550
부산광역시,반도주유소,부산 남구 신선로 442 (용당동),S-OIL,051-626-6828,Y,-,1547,1517,-
부산광역시,내트럭(주)부산용당,부산 남구 신선로 261,SK에너지,051-931-8001,N,-,1549,1549,-
부산광역시,광신리소스㈜ 직영 광안대교주유소,부산 남구 유엔로 202,SK에너지,051-625-1140,Y,-,1549,1489,-
부산광역시,YK에너지(주),부산 남구 신선로 387 (용당동),SK에너지,051-623-5189,Y,1749,1549,1519,-
부산광역시,은마석유주식회사,부산 남구 신선로 351 (용당동),GS칼텍스,051-628-4323,Y,1749,1549,1519,-
부산광역시,대일주유소,부산 남구 황령대로 401-2 (대연동),GS칼텍스,051-627-0727,N,1749,1549,1569,-
부산광역시,(주)대호석유 용당CY주유소,부산 남구 신선로 392 (용당동),GS칼텍스,051-622-5121,Y,1749,1549,1519,-
부산광역시,사랑드림주유소,부산 남구 황령대로 345 (대연동),S-OIL,051-612-0529,Y,1790,1549,1499,-
부산광역시,(주)문화주유소,부산 남구 유엔로 155,GS칼텍스,051-621-2416,Y,1749,1549,1509,1600
부산광역시,내트럭(주)부산사업소,부산 남구 신선로 168,SK에너지,051-638-3971,N,-,1549,1549,-
부산광역시,팔성셀프주유소,부산 남구 유엔로 138,현대오일뱅크,051-622-9985,Y,-,1549,1509,-
부산광역시,지에스칼텍스㈜ 비치주유소,부산 남구 용호로 60 (용호동),GS칼텍스,051-625-5151,Y,1769,1549,1519,1600
부산광역시,매일주유소,부산 남구 수영로 22 (문현동),알뜰주유소,051-646-5182,Y,-,1555,1525,1500
부산광역시,문현주유소,부산 남구 우암로 374 (문현동),현대오일뱅크,051-635-5103,Y,-,1558,1568,1600
부산광역시,구도일주유소용호,부산 남구 용호로 172 (용호동),S-OIL,051-611-5191,N,-,1559,1559,1500
부산광역시,동명주유소,부산 남구 황령대로98번길 7 (문현동),S-OIL,051-646-4390,N,-,1598,1558,1550
부산광역시,금융단지주유소,부산 남구 황령대로98번길 75 (문현동),현대오일뱅크,051-633-5117,N,1748,1598,1598,-
부산광역시,금강석유(주) 영웅주유소,부산 남구 황령대로 346 (대연동),현대오일뱅크,051-627-0180,Y,-,1598,1598,-
부산광역시,지에스칼텍스㈜ 대연주유소,부산 남구 수영로 288,GS칼텍스,051-624-2552,Y,1843,1609,1599,1600
부산광역시,인터지스(주)인터지스주유소,부산 남구 신선로 173 (감만동),현대오일뱅크,051-611-7611,N,-,1628,1678,-
부산광역시,대성주유소,부산광역시 남구 문현로 67 (문현동),현대오일뱅크,051-634-0668,N,-,1679,1679,1675
부산광역시,굿오일주유소,부산 남구 북항로 108,S-OIL,051-637-5157,N,-,-,1519,-
