지역_위치별(주유소),,,,,,,,,
,,,,,,,,,(단위 : 원/리터)
지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
부산광역시,오케이주유소,부산 사하구 사하로 150 (괴정동),S-OIL,051-293-7601,Y,-,1528,1500,1450
부산광역시,오션셀프주유소,부산 사하구 감천항로 227,S-OIL,010-2755-7600,Y,-,1528,1495,-
부산광역시,SK에너지(주)국영,부산 사하구 장림번영로 7 (장림동),SK에너지,051-262-8866,Y,-,1528,1569,1550
부산광역시,퍼시픽에너지(주),부산 사하구 다대로 575 (다대동),알뜰주유소,051-313-5182,Y,-,1535,1499,-
부산광역시,대양석유(주) SK괴정주유소,부산광역시 사하구  사하로 129,SK에너지,051-206-7446,Y,-,1535,1499,-
부산광역시,장림대흥주유소,부산 사하구 다대로 292 (장림동),SK에너지,051-262-5189,Y,1833,1535,1499,-
부산광역시,새마당주유소,부산 사하구 장평로 152 (장림동),알뜰주유소,070-4062-2345,Y,-,1535,1499,1470
부산광역시,인도에너지(주),부산 사하구 감천항로 20,SK에너지,051-988-1817,Y,-,1535,1499,-
부산광역시,광신홀딩스㈜ 직영 을숙도대로주유소,부산 사하구 을숙도대로 530 (신평동),SK에너지,051-205-8800,Y,-,1535,1499,-
부산광역시,부영석유 도매주유소,부산 사하구 을숙도대로 564,GS칼텍스,051-202-7333,Y,-,1535,1499,-
부산광역시,토성셀프주유소,부산 사하구 다대로 581 (다대동),SK에너지,051-261-5145,Y,-,1538,1499,1500
부산광역시,동원주유소(주),부산 사하구 감천항로 445 (구평동),자가상표,051-261-4448,Y,-,1545,1535,-
부산광역시,선경주유소,부산 사하구 을숙도대로 728,S-OIL,051-266-5130,Y,1987,1545,1515,-
부산광역시,송림주유소,부산 사하구 장평로 177 (장림동),GS칼텍스,051-262-0072,Y,-,1548,1518,-
부산광역시,장림주유소,부산 사하구 장림로 287 (장림동),현대오일뱅크,051-261-3773,Y,-,1548,1568,-
부산광역시,에스씨(주) 감천주유소,부산 사하구 감천로 79 (감천동),GS칼텍스,051-291-9700,Y,-,1549,1499,1450
부산광역시,대창제1주유소,부산 사하구 을숙도대로 821 (구평동),SK에너지,051-266-7788,Y,-,1559,1529,-
부산광역시,지에스칼텍스㈜ 동아주유소,부산 사하구 낙동대로 112 (괴정동),GS칼텍스,051-206-2351,Y,1793,1559,1529,-
부산광역시,사하주유소,부산 사하구 을숙도대로 583,GS칼텍스,051-202-5175,N,-,1565,1535,-
부산광역시,남성주유소,부산 사하구 하신중앙로 240 (하단동),현대오일뱅크,051-205-4631,Y,-,1577,1557,1500
부산광역시,현대오일뱅크㈜직영 괴정제일셀프주유소,부산 사하구 낙동대로 169,현대오일뱅크,051-292-0091,Y,-,1577,1547,1489
부산광역시,(주)천일에너지 대진주유소,부산 사하구 낙동대로 339,현대오일뱅크,051-206-6489,Y,-,1577,1547,-
부산광역시,극동유화(주) 부산주유소,부산 사하구 하신중앙로 165 (신평동),S-OIL,051-293-5451,Y,-,1577,1527,-
부산광역시,CJ대한통운㈜ 장평주유소,부산 사하구 을숙도대로 695,S-OIL,051-292-5186,Y,-,1578,1538,-
부산광역시,지에스칼텍스(주)다대주유소,부산 사하구 다대로 377 (장림동),GS칼텍스,051-265-5131,Y,1823,1579,1539,-
부산광역시,한국오일뱅주유소,부산 사하구 다대로 280 (장림동),S-OIL,051-265-5050,Y,-,1589,1539,1550
부산광역시,대경주유소,부산 사하구 감천항로 64 (구평동),S-OIL,051-262-8494,N,-,1589,1599,-
부산광역시,조은셀프주유소,부산 사하구 낙동대로 312 (괴정동),S-OIL,051-291-5189,Y,-,1589,1589,-
부산광역시,신평주유소,부산 사하구 하신중앙로 166 (신평동),SK에너지,051-203-4277,N,1988,1597,1557,1550
부산광역시,대호주유소,부산 사하구 하신중앙로 55 (신평동),S-OIL,051-204-8200,N,-,1628,1628,1550
부산광역시,광신석유(주)직영 구평주유소,부산 사하구 서포로 61,SK에너지,051-265-6004,Y,-,1999,2099,1799
