지역_위치별(주유소),,,,,,,,,
,,,,,,,,,(단위 : 원/리터)
지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
부산광역시,(주)디시에너지 운동장,부산 서구 보수대로 220 (동대신제3동),현대오일뱅크,051-243-0444,Y,-,1515,1495,1460
부산광역시,(주)디시에너지 대신지점,부산 서구 대영로 91,현대오일뱅크,051-242-8144,Y,-,1555,1525,-
부산광역시,극동유화(주) 고려주유소대신,부산 서구 대영로 88 (동대신동1가),S-OIL,051-248-7555,Y,-,1575,1525,1500
부산광역시,동방석유(주)직영 모든주유소,부산 서구 감천로 227 (암남동),SK에너지,051-244-5151,Y,-,1579,1499,1477
부산광역시,지에스칼텍스㈜ 대성주유소,부산 서구 충무대로 126 (남부민동),GS칼텍스,051-257-2601,Y,1828,1579,1539,-
부산광역시,극동유화(주) 우양냉장주유소,부산 서구 충무대로 240 (남부민동),S-OIL,051-256-1070,Y,1810,1579,1529,-
부산광역시,스타2 주유소,부산 서구 원양로 260 (암남동),GS칼텍스,051-243-6661,N,-,1585,1499,-
부산광역시,남항대교주유소,부산 서구 충무대로 108 (암남동),SK에너지,051-231-5145,Y,-,1589,1539,1550
부산광역시,남부주유소 (송도아랫길),부산 서구 충무대로 150 (남부민동),GS칼텍스,051-255-9528,N,-,1597,1598,1530
부산광역시,(주)부영에너지직영신일주유소,부산 서구 구덕로 273 (서대신동1가),SK에너지,051-256-3929,Y,-,1598,1649,-
