지역_위치별(주유소),,,,,,,,,
,,,,,,,,,(단위 : 원/리터)
지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
부산광역시,광안리주유소,부산 수영구 광남로 83,S-OIL,051-754-9799,Y,1703,1513,1533,-
부산광역시,(주)세왕에너지 세진주유소,부산 수영구 광남로 176 (민락동),SK에너지,051-755-8188,Y,-,1513,1533,-
부산광역시,인성주유소,부산 수영구 연수로 250 (망미동),현대오일뱅크,051-752-9475,Y,-,1525,1555,-
부산광역시,땡큐망미주유소,부산 수영구  연수로 254 (망미동),S-OIL,051-752-6056,Y,-,1528,1558,-
부산광역시,신영주유소,부산 수영구 과정로 23,SK에너지,051-756-4518,N,-,1529,1549,-
부산광역시,마린타이거주유소,부산 수영구 광남로 241 (민락동),GS칼텍스,051-756-0903,N,-,1533,1513,-
부산광역시,SK에너지(주)강일주유소,부산 수영구 연수로 411,SK에너지,051-752-6371,Y,-,1544,1594,-
부산광역시,대양산업(주)대영주유소,부산 수영구 수영로 731,GS칼텍스,051-753-0360,Y,-,1544,1594,1650
부산광역시,지에스칼텍스(주)부산주유소,부산 수영구 수영로 558 (광안동),GS칼텍스,051-753-0569,Y,1778,1549,1539,-
부산광역시,지에스칼텍스(주) 언덕주유소,부산 수영구 연수로 239,GS칼텍스,051-757-6100,Y,1783,1549,1554,1550
부산광역시,센텀타이거주유소,부산 수영구 민락본동로 30,알뜰주유소,051-751-2281,Y,-,1555,1515,-
부산광역시,금련산주유소,부산 수영구 수영로 491 (남천동),S-OIL,051-621-5189,N,1815,1615,1635,1600
부산광역시,(주)호유주유소,부산 수영구 좌수영로 151 (망미동),GS칼텍스,051-757-8806,Y,1838,1638,1688,-
부산광역시,(주)청유주유소,부산 수영구 좌수영로 147 (망미동),SK에너지,051-757-8806,Y,1848,1648,1698,-
부산광역시,금호주유소,"부산 수영구 과정로 4,  (망미동)",SK에너지,051-756-3792,N,-,1698,1698,1600
