지역_위치별(주유소),,,,,,,,,
,,,,,,,,,(단위 : 원/리터)
지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
부산광역시,에너지드림셀프주유소,부산 연제구 반송로 68 (연산동),알뜰주유소,051-868-5252,Y,-,1515,1495,-
부산광역시,금천셀프주유소,부산 연제구 과정로 134 (연산동),S-OIL,051-759-9393,Y,-,1529,1529,-
부산광역시,(주)좋은기름나라연산주유소지점,부산 연제구 고분로 51 (연산동),S-OIL,051-851-5199,Y,-,1537,1495,-
부산광역시,성학주유소,부산 연제구 월드컵대로 249 (거제동),알뜰주유소,051-505-7090,N,-,1538,1498,-
부산광역시,은마석유(주)아시아드주유소,부산 연제구  거제대로 130 (거제동),GS칼텍스,051-852-4144,Y,1850,1539,1559,-
부산광역시,광동페트로㈜ 감사드림주유소,부산 연제구 거제대로 98,현대오일뱅크,051-851-0976,Y,-,1539,1499,-
부산광역시,SK에너지(주)부흥셀프주유소,부산 연제구 과정로 120 (연산동),SK에너지,051-759-5182,Y,-,1545,1569,-
부산광역시,신한양주유소,부산 연제구 연안로 20 (연산동),SK에너지,051-758-5351,Y,-,1545,1555,-
부산광역시,자이주유소,부산 연제구 과정로 325 (연산동),GS칼텍스,051-864-4244,Y,1900,1549,1539,-
부산광역시,광신홀딩스㈜ 직영 토곡주유소,부산 연제구 과정로 208,SK에너지,051-759-3802,Y,-,1549,1499,1799
부산광역시,현대오일뱅크㈜직영 연산셀프주유소,부산 연제구 중앙대로 1179 (거제동),현대오일뱅크,051-867-6741,Y,1890,1569,1548,-
부산광역시,영웅주유소,부산 연제구 온천천남로 86 (연산동),현대오일뱅크,051-759-5776,N,-,1579,1555,-
부산광역시,현대오일뱅크(주)직영 부산현대주유소,부산 연제구 아시아드대로 107 (거제동),현대오일뱅크,051-502-9131,N,1949,1588,1559,-
부산광역시,연제주유소,부산 연제구 연수로 87,S-OIL,051-636-4356,N,-,1619,1659,1650
