지역_위치별(주유소),,,,,,,,,
,,,,,,,,,(단위 : 원/리터)
지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
부산광역시,태종대온천주유소,부산 영도구 태종로 806-1 (동삼동),SK에너지,051-405-2530,N,-,1597,1637,1600
부산광역시,세기상사㈜ 대성주유소,부산 영도구 해양로 128 (청학동),S-OIL,051-412-5189,N,-,1598,1638,1600
부산광역시,동현주유소,부산 영도구 해양로 212,SK에너지,051-405-5170,N,-,1598,1638,1400
부산광역시,해양특구주유소,부산 영도구 해양로 270,GS칼텍스,051-404-5189,Y,-,1598,1638,-
부산광역시,SK에너지(주)직영 태종로주유소,부산 영도구 태종로 290 (청학동),SK에너지,051-412-5155,Y,-,1598,1638,1550
부산광역시,태종에너지청학주유소,부산 영도구 태종로 376 (청학동),SK에너지,051-414-7279,Y,-,1598,1638,1600
부산광역시,영선주유소,부산 영도구 영선대로 63 (영선동3가),현대오일뱅크,051-418-0042,N,-,1599,1689,1400
부산광역시,동방주유소,부산 영도구 남항서로 96(남항동2가),S-OIL,051-416-6108,N,-,1778,1768,1390
부산광역시,남항주유소,부산 영도구 남항서로 116,SK에너지,051-416-0904,N,-,1798,1788,1400
부산광역시,(주)나부코직영 우원주유소,부산 영도구 태종로 181 (봉래동4가),SK에너지,051-418-7600,N,-,1878,1778,1500
